Site,Full days active,Full day images,1st full day,1st day images,1st day visitors,Proportion,Full day visitors,Mean daily visitors,Days in month,Monthly visitors estimate,Note
Arne,1,831,30th April,831,173,0.208182912,173,173,30,5190,
Caerlaverock,15,4913,16th April,182,38,0.208791209,1025.791209,68.38608059,30,2051.582418,
Cairnsmore of Fleet,15,8880,16th April,132,30,0.227272727,2018.181818,134.5454545,30,4036.363636,
Collard Hill,1,66,30th April,66,14,0.212121212,14,14,30,420,
Gait Barrows,18,1452,13th April,117,37,0.316239316,459.1794872,25.50997151,30,765.2991453,
Glasdrum Wood,15,1482,16th April,21,5,0.238095238,352.8571429,23.52380952,30,705.7142857,
Ham Wall,1,978,30th April,978,262,0.267893661,262,262,30,7860,
Highnam Woods,1,105,29th April,105,20,0.19047619,20,20,30,600,Faulty on 30th
Insh Marshes,14,2308,17th April,231,72,0.311688312,719.3766234,51.38404453,30,1541.521336,
Kirkconnel Flow,15,7644,16th April,150,25,0.166666667,1274,84.93333333,30,2548,
Leighton Moss,18,12862,13th April,933,240,0.257234727,3308.553055,183.808503,30,5514.255091,
Loch Garten,14,8325,17th April,846,212,0.250591017,2086.170213,149.0121581,30,4470.364742,
Low Barns,6,1277,25th April,126,39,0.30952381,395.2619048,65.87698413,30,1976.309524,
Nagshead,2,423,29th April,177,41,0.231638418,97.98305085,48.99152542,30,1469.745763,
Rainton Meadows,6,3117,25th April,369,59,0.159891599,498.3821138,83.06368564,30,2491.910569,
Saltholme Visitor Centre,11,8421,20th April,1709,648,0.379169105,3192.983031,290.2711846,30,8708.135539,
Saltholme Workshops,13,4803,18th April,351,22,0.062678063,301.042735,23.15713346,30,694.7140039,
