Site,Full days active,Full day images,1st full day,1st day images,1st day visitors,Proportion,Full day visitors,Mean daily visitors,Days in month,Monthly visitors estimate,Notes
Collard Hill,30,3450,1st June,144,39,0.270833333,934.375,31.14583333,30,934.375,
Denge Wood,30,2415,1st June,93,37,0.397849462,960.8064516,32.02688172,30,960.8064516,
Fowlmere,30,11295,1st June,543,118,0.217311234,2454.530387,81.81767956,30,2454.530387,
Frampton Marsh,30,12219,1st June,378,133,0.351851852,4299.277778,143.3092593,30,4299.277778,
Gait Barrows,30,3155,1st June,123,37,0.300813008,949.0650407,31.63550136,30,949.0650407,
Glasdrum Wood,29,2917,2nd June,102,20,0.196078431,571.9607843,19.72278567,30,591.68357,
Ham Wall,8,3998,1st June,936,239,0.25534188,1020.856838,127.6071047,30,3828.213141,
Highnam Woods,30,7212,1st June,237,40,0.168776371,1217.21519,40.57383966,30,1217.21519,
Insh Marshes,30,4699,1st June,225,N/A,0.333333333,1566.333333,52.21111111,30,1566.333333,Images distorted - use previous proportion
Loch Garten,5,1146,1st June,516,135,0.261627907,299.8255814,59.96511628,30,1798.953488,
Low Barns,30,7511,1st June,309,140,0.453074434,3403.042071,113.4347357,30,3403.042071,
Minsmere Visitor Centre,1,432,1st June,432,118,0.273148148,118,118,30,3540,
Minsmere Woodland,30,16935,1st June,294,40,0.136054422,2304.081633,76.80272109,30,2304.081633,
Nagshead,30,5010,1st June,306,77,0.251633987,1260.686275,42.02287582,30,1260.686275,
Pulborough Brooks,30,6399,1st June,231,86,0.372294372,2382.311688,79.41038961,30,2382.311688,
Rainton Meadows,30,18384,1st June,363,,0.159891599,2939.447154,97.98157182,30,2939.447154,Images deleted - use previous proportion
Saltholme Workshops,26,15526,1st June,186,35,0.188172043,2921.55914,112.3676592,30,3371.029777,27th - dead
Strumpshaw Fen,30,13273,1st June,1407,411,0.292110874,3877.187633,129.2395878,30,3877.187633,
Weeting Heath,17,6318,1st June,636,52,0.081761006,516.5660377,30.38623751,30,911.5871254,
